date,open,close,high,low,volume
1989-12-15,34.7500,7.8800,35.0000,32.5000,18520800
1989-12-14,35.7500,8.1500,36.1300,34.5000,10886400
1989-12-13,36.0000,8.4100,36.5000,35.5000,13920000
1989-12-12,39.2500,8.4100,39.5000,35.0000,36634400
1989-12-11,41.0000,9.1700,41.5000,38.3800,23223200
1989-12-08,42.5000,9.7500,43.0000,41.2500,9032400
1989-12-07,42.2500,9.9900,43.2500,42.0000,6378800
1989-12-06,45.0000,9.9900,45.2500,41.0000,11965600
1989-12-05,45.2500,10.5100,45.7500,44.5000,4364800
1989-12-04,43.7500,10.5700,45.5000,43.7500,3498000
1989-12-01,44.5000,10.2800,45.0000,43.6300,5235200
1989-11-30,43.7500,10.3400,44.5000,43.5000,2280800
1989-11-29,43.5000,10.2800,44.2500,42.5000,5475200
1989-11-28,43.7500,10.3100,44.2500,42.7500,4854400
1989-11-27,44.7500,10.2800,45.2500,43.7500,3774800
1989-11-24,44.7500,10.4500,45.0000,44.7500,1014400
1989-11-22,45.5000,10.4500,45.7500,44.5000,3508000
1989-11-21,45.2500,10.5700,46.5000,45.2500,5013600
1989-11-20,45.0000,10.5700,45.5000,44.5000,3870800
1989-11-17,44.5000,10.4500,45.2500,44.5000,3164400
1989-11-16,44.5000,10.4300,44.7500,43.7500,3453600
1989-11-15,45.0000,10.3100,45.2500,44.0000,3499200
1989-11-14,46.5000,10.4300,46.7500,44.5000,3021200
1989-11-13,46.5000,10.8300,47.2500,46.5000,2445600
1989-11-10,45.7500,10.8900,47.0000,45.7500,2336800
1989-11-09,45.0000,10.7200,46.0000,44.5000,3166400
1989-11-08,44.2500,10.4900,45.2500,44.2500,5102000
1989-11-07,43.2500,10.2500,44.5000,43.2500,5406800
1989-11-06,43.5000,10.0800,44.0000,43.0000,4416400
1989-11-03,44.0000,10.0800,44.5000,43.2500,6258800
1989-11-02,45.0000,10.2500,45.0000,43.0000,16170800
1989-11-01,46.2500,10.7500,46.7500,45.7500,2199200
1989-10-31,45.7500,10.8300,46.5000,45.5000,3288800
1989-10-30,45.5000,10.6600,46.0000,45.0000,3121200
1989-10-27,45.2500,10.5400,45.7500,44.5000,4634400
1989-10-26,45.5000,10.5400,46.5000,45.0000,6048000
1989-10-25,47.7500,10.8300,47.7500,46.2500,4263600
1989-10-24,46.2500,11.1000,48.5000,45.2500,7735600
1989-10-23,48.0000,10.8900,48.2500,46.2500,4375600
1989-10-20,47.7500,11.1800,49.2500,47.5000,9350800
1989-10-19,48.2500,11.3600,49.5000,48.2500,4016800
1989-10-18,46.5000,11.2400,48.2500,46.0000,5157600
1989-10-17,46.0000,11.0100,48.7500,45.0000,8935600
1989-10-16,44.7500,10.8900,46.7500,42.5000,15184400
1989-10-13,48.7500,10.6600,49.5000,45.0000,7195600
1989-10-12,49.0000,11.3600,49.2500,48.5000,2969200
1989-10-11,48.7500,11.3900,49.2500,48.0000,5608800
1989-10-10,49.7500,11.5300,50.3800,48.5000,10262400
1989-10-09,48.0000,11.5300,49.7500,47.5000,6997600
1989-10-06,46.2500,11.2100,48.2500,46.0000,12939200
1989-10-05,44.5000,10.6000,46.5000,44.2500,8760000
1989-10-04,43.7500,10.3100,44.6300,43.5000,5687600
1989-10-03,44.2500,10.1700,44.5000,43.1300,6094400
1989-10-02,44.5000,10.3400,44.7500,43.7500,4922400
1989-09-29,45.2500,10.3700,45.5000,44.5000,2500800
1989-09-28,45.0000,10.6000,45.7500,45.0000,2856800
1989-09-27,44.2500,10.4300,45.1300,44.0000,3229200
1989-09-26,45.0000,10.5400,45.5000,44.7500,2762400
1989-09-25,44.7500,10.5400,45.7500,44.7500,4875600
1989-09-22,44.7500,10.4600,45.2500,44.2500,2605600
