datetime	web1 dynamic requests duration average	web1 dynamic requests duration min	web1 dynamic requests duration max
2011/01/24 19:19:00	3180.815	581	14153
2011/01/24 19:19:20	2721.062	476	12908
2011/01/24 19:19:40	2715.806	493	11998
2011/01/24 19:20:00	2925.117	490	12184
2011/01/24 19:20:20	2641.507	504	11440
2011/01/24 19:20:40	2722.713	520	11401
2011/01/24 19:21:00	2893.908	505	13002
2011/01/24 19:21:20	2620.131	530	11557
2011/01/24 19:21:40	3036.475	951	11785
2011/01/24 19:22:00	2779.924	529	12624
2011/01/24 19:22:20	2540.703	546	11601
2011/01/24 19:22:40	4037.913	636	24846
2011/01/24 19:23:00	3457.621	559	20337
2011/01/24 19:23:20	2794.012	669	11714
2011/01/24 19:23:40	2635.196	542	11310
2011/01/24 19:24:00	2986.363	554	12356
2011/01/24 19:24:20	2928.908	553	12072
2011/01/24 19:24:40	2923.364	589	12385
2011/01/24 19:25:00	2776.052	706	12720
2011/01/24 19:25:20	2929.749	490	11679
2011/01/24 19:25:40	2509.384	463	11769
2011/01/24 19:26:00	3696.871	563	21906
2011/01/24 19:26:20	2904.71	511	11885
2011/01/24 19:26:40	2592.168	767	12748
2011/01/24 19:27:00	3051.475	571	11468
2011/01/24 19:27:20	2495	649	10927
2011/01/24 19:27:40	3276.667	773	12641
2011/01/24 19:28:00	2496.49	481	11751
2011/01/24 19:28:20	3006.333	501	12723
2011/01/24 19:28:40	2511.684	584	11068
2011/01/24 19:29:00	2768.742	513	12101
2011/01/24 19:29:20	2826.673	509	12508
2011/01/24 19:29:40	3127.448	501	14491
2011/01/24 19:30:00	2493.242	500	12539
2011/01/24 19:30:20	2926.038	571	12933
2011/01/24 19:30:40	3042.671	719	12042
2011/01/24 19:31:00	2606.758	591	12684
2011/01/24 19:31:20	2986.663	517	13286
2011/01/24 19:31:40	2595.229	498	11144
2011/01/24 19:32:00	2854.025	483	12529
2011/01/24 19:32:20	2727.494	517	12571
2011/01/24 19:32:40	3017.412	606	12366
2011/01/24 19:33:00	2883.384	510	12458
2011/01/24 19:33:20	2977.345	515	17238
2011/01/24 19:33:40	2996.348	515	15113
2011/01/24 19:34:00	2769.146	532	11153
2011/01/24 19:34:20	2710.947	510	12881
2011/01/24 19:34:40	3063.09	627	12098
2011/01/24 19:35:00	2653.331	600	11778
2011/01/24 19:35:20	2819.356	583	11905
2011/01/24 19:35:40	2855.949	502	11572
2011/01/24 19:36:00	2640.634	526	12523
2011/01/24 19:36:20	2861.139	535	11762
2011/01/24 19:36:40	2752.652	510	12144
2011/01/24 19:37:00	2788.823	490	14105
2011/01/24 19:37:20	3579.883	537	16826
2011/01/24 19:37:40	2752.049	491	13230
2011/01/24 19:38:00	2895.869	479	13515
2011/01/24 19:38:20	2959.735	456	12201
2011/01/24 19:38:40	2903.768	557	12273
2011/01/24 19:39:00	2648.168	533	12976
2011/01/24 19:39:20	3072.196	570	11435
2011/01/24 19:39:40	2931.439	522	12104
2011/01/24 19:40:00	2800.544	494	11590
2011/01/24 19:40:20	3050.903	710	12693
2011/01/24 19:40:40	2768.344	570	11783
2011/01/24 19:41:00	2941.671	577	15684
2011/01/24 19:41:20	3260.683	548	17365
2011/01/24 19:41:40	2747.481	628	12721
2011/01/24 19:42:00	2789.824	596	14672
2011/01/24 19:42:20	2930.693	617	12766
2011/01/24 19:42:40	2793.962	560	11281
2011/01/24 19:43:00	2484.877	514	11356
2011/01/24 19:43:20	3121.55	546	11963
2011/01/24 19:43:40	2599.062	543	12678
2011/01/24 19:44:00	3191.497	524	12802
2011/01/24 19:44:20	2694.537	496	11683
2011/01/24 19:44:40	2825.667	476	13074
2011/01/24 19:45:00	2885.006	510	14309
2011/01/24 19:45:20	3227.032	517	14666
2011/01/24 19:45:40	2865.549	561	16346
2011/01/24 19:46:00	2981.63	478	14577
2011/01/24 19:46:20	3079.651	1020	14809
2011/01/24 19:46:40	3337.378	469	17118
2011/01/24 19:47:00	2621.406	701	12736
2011/01/24 19:47:20	3088.278	536	13096
2011/01/24 19:47:40	2654.128	536	11597
2011/01/24 19:48:00	2766.81	498	11806
2011/01/24 19:48:20	2741.595	509	11562
2011/01/24 19:48:40	2911.106	531	12735
2011/01/24 19:49:00	2741.253	709	11093
2011/01/24 19:49:20	2941.796	541	12274
2011/01/24 19:49:40	2799.967	518	12010
2011/01/24 19:50:00	3348.719	648	15896
2011/01/24 19:50:20	2836.795	495	17473
2011/01/24 19:50:40	3005.539	510	13007
2011/01/24 19:51:00	2814.104	693	11829
2011/01/24 19:51:20	2396.232	539	11343
2011/01/24 19:51:40	3030.358	601	12221
2011/01/24 19:52:00	2872.927	535	11705
2011/01/24 19:52:20	2789.318	533	12220
2011/01/24 19:52:40	2765.135	490	11497
2011/01/24 19:53:00	2685.63	524	11893
2011/01/24 19:53:20	2749.86	570	12738
2011/01/24 19:53:40	3030.565	499	15260
2011/01/24 19:54:00	2669.313	483	11402
2011/01/24 19:54:20	2794.719	462	12324
2011/01/24 19:54:40	2875.683	540	11375
2011/01/24 19:55:00	2677.245	562	11839
2011/01/24 19:55:20	2863.213	544	11557
2011/01/24 19:55:40	2777	553	11738
2011/01/24 19:56:00	2860.019	512	11375
2011/01/24 19:56:20	2918.951	737	12071
2011/01/24 19:56:40	2832.833	532	12057
2011/01/24 19:57:00	2825.067	598	11987
2011/01/24 19:57:20	3025.084	488	18970
2011/01/24 19:57:40	3239.957	567	13417
2011/01/24 19:58:00	2411.319	572	12361
2011/01/24 19:58:20	2918.64	484	12359
2011/01/24 19:58:40	2534.845	496	11326
2011/01/24 19:59:00	2905.717	573	11718
2011/01/24 19:59:20	2732.866	581	13322
2011/01/24 19:59:40	2975.479	560	12536
2011/01/24 20:00:00	2517.552	512	11862
2011/01/24 20:00:20	2987.111	862	11845
2011/01/24 20:00:40	3108.347	632	12151
2011/01/24 20:01:00	3040.812	998	16195
2011/01/24 20:01:20	2834.615	1019	14664
2011/01/24 20:01:40	3345.97	1019	13667
2011/01/24 20:02:00	2894.974	1015	12457
2011/01/24 20:02:20	2995.174	794	12508
2011/01/24 20:02:40	2903.384	872	12649
2011/01/24 20:03:00	2894.377	752	12526
2011/01/24 20:03:20	3148.64	1019	12421
2011/01/24 20:03:40	2528.689	827	13163
2011/01/24 20:04:00	3193.599	895	13586
2011/01/24 20:04:20	2772.105	1018	17517
2011/01/24 20:04:40	3624.158	544	21019
2011/01/24 20:05:00	2805.639	724	12101
2011/01/24 20:05:20	3066.516	622	12250
2011/01/24 20:05:40	2849.289	525	11815
2011/01/24 20:06:00	2464.544	883	11491
2011/01/24 20:06:20	3165.294	619	13348
2011/01/24 20:06:40	2721.107	967	12339
2011/01/24 20:07:00	2869.892	788	12038
2011/01/24 20:07:20	2780.509	586	12757
2011/01/24 20:07:40	2675.13	667	11843
2011/01/24 20:08:00	2957.45	1020	15707
2011/01/24 20:08:20	2825.748	520	14054
2011/01/24 20:08:40	3217.604	787	13931
2011/01/24 20:09:00	2755.284	667	12451
2011/01/24 20:09:20	2701.587	695	11775
2011/01/24 20:09:40	2904.922	1018	11844
2011/01/24 20:10:00	2995.988	544	12179
2011/01/24 20:10:20	2753.213	610	11589
2011/01/24 20:10:40	2753.955	780	12075
2011/01/24 20:11:00	3180.906	785	14607
2011/01/24 20:11:20	2805.748	519	14477
2011/01/24 20:11:40	3841.176	609	19265
2011/01/24 20:12:00	3635.922	511	19984
2011/01/24 20:12:20	3741.764	671	22258
2011/01/24 20:12:40	4179.842	827	20848
2011/01/24 20:13:00	3097.553	809	13331
2011/01/24 20:13:20	2769.704	747	11419
2011/01/24 20:13:40	2855.454	1019	12085
2011/01/24 20:14:00	3293.687	1023	14154
2011/01/24 20:14:20	3090.381	1020	13756
2011/01/24 20:14:40	3580.506	888	21354
2011/01/24 20:15:00	3993.268	813	22188
2011/01/24 20:15:20	4046.128	1018	22733
2011/01/24 20:15:40	4284.524	792	21749
2011/01/24 20:16:00	4330.878	693	22361
2011/01/24 20:16:20	4153.279	526	25184
2011/01/24 20:16:40	3034.949	498	19562
2011/01/24 20:17:00	3149.429	902	13767
2011/01/24 20:17:20	3173.086	941	14718
2011/01/24 20:17:40	3287.5	611	18644
2011/01/24 20:18:00	3607.13	493	21019
2011/01/24 20:18:20	4195.845	479	19375
2011/01/24 20:18:40	3566.419	596	18877
2011/01/24 20:19:00	3623.921	641	20154
2011/01/24 20:19:20	3139.702	1015	15340
2011/01/24 20:19:40	3113.619	1018	12979
2011/01/24 20:20:00	2816.567	995	14442
2011/01/24 20:20:20	3306.622	737	14697
2011/01/24 20:20:40	3753.581	694	18012
2011/01/24 20:21:00	5380.824	911	37853
2011/01/24 20:21:20	4245.032	756	28588
2011/01/24 20:21:40	4089.05	779	25155
2011/01/24 20:22:00	4072.937	603	19885
2011/01/24 20:22:20	4010.741	680	22953
